nation-name,16tg
Afghanistan,-71.75
Albania,50.0
Angola,-43.21
Argentina,-16.26
Armenia,-87.15
Australia,-40.98
Azerbaijan,-88.36
Bangladesh,34.87
Belize,32.46
Benin,-20.59
Bhutan,-36.67
Bolivia,-12.16
Botswana,-47.08
Brazil,-6.0
Bulgaria,39.1
Burkina Faso,-5.9
Burundi,-45.11
Cambodia,-29.39
Cameroon,12.36
Canada,-100.0
Caspian Sea,-80.55
Central African Republic,-6.54
Chad,50.0
Chile,30.16
China,-57.23
Colombia,-3.43
Costa Rica,-11.28
C??te d'Ivoire,13.3
Cuba,27.4
Democratic Republic of the Congo,-10.51
Djibouti,-27.98
Dominican Republic,50.0
East Timor,6.29
Ecuador,-5.58
Egypt,-13.85
El Salvador,36.58
Eritrea,50.0
Ethiopia,-36.83
Finland,-100.0
France,-7.55
French Guiana,18.42
Gabon,-13.03
Gambia,-67.99
Georgia,-100.0
Ghana,-2.9
Greece,30.56
Guatemala,36.15
Guinea,0.96
Guinea-Bissau,18.03
Guyana,50.0
Haiti,50.0
Honduras,34.85
Iceland,-100.0
India,0.31
Indonesia,-5.64
Iran,-53.79
Iraq,-48.76
Italy,-22.79
Japan,-58.72
Kazakhstan,-86.28
Kenya,14.43
Kosovo,50.0
Kuwait,-40.59
Kyrgyzstan,-96.65
Laos,-44.66
Liberia,1.93
Macedonia,50.0
Madagascar,-13.34
Malawi,-21.55
Malaysia,-14.75
Mali,12.02
Mauritania,-15.99
Mexico,-51.96
Mongolia,-83.72
Morocco,-53.99
Mozambique,-8.07
Myanmar,-29.26
Namibia,-58.51
Nepal,-34.27
Nicaragua,15.13
Niger,50.0
Nigeria,9.53
North Korea,-87.47
Norway,-100.0
Pakistan,-27.81
Panama,-30.79
Paraguay,-3.23
Peru,-12.32
Philippines,-12.64
Portugal,22.18
Republic of Congo,-12.94
Russia,-97.69
Rwanda,-47.54
Saudi Arabia,-100.0
Senegal,10.81
Sierra Leone,-14.97
Singapore,-5.58
Somalia,31.71
South Africa,-48.31
South Korea,-52.01
South Sudan,2.6
Spain,23.85
Sri Lanka,-18.79
Sudan,50.0
Suriname,50.0
Sweden,-100.0
Switzerland,-47.33
Syria,-57.6
Tajikistan,-92.41
Tanzania,-40.18
Thailand,-32.6
Togo,-9.17
Turkey,-28.7
Turkmenistan,-51.73
Uganda,-15.06
Ukraine,-95.97
United States,-56.33
Uruguay,-25.87
Uzbekistan,-63.75
Venezuela,47.6
Vietnam,-33.95
Zambia,-32.03
Zimbabwe,-34.65
