ISO3,Dry Caloric Tonnes
AFG,5734672.88860482
AGO,7292223.318543152
ALB,881661.6038474051
ARE,178826.32506257
ARG,129457020.62965973
ARM,403312.6628988319
AUS,30181988.869075477
AUT,5938344.20207905
AZE,3248105.3321164595
BDI,2251709.8863925
BEL,3917689.2973357253
BEN,4976181.610291089
BFA,7052720.245324355
BGD,47939532.54348946
BGR,9198165.151544126
BHR,7187.458456962499
BIH,1983776.98573941
BLR,10091821.063757453
BOL,6735800.5619466845
BRA,297511698.8333886
BRB,11076.65777458075
BRN,4379.1013182819
BTN,134780.99962326797
BWA,196462.03280152875
CAF,858197.5500564497
CAN,95253403.66578904
CHE,1382475.112363716
CHL,4211414.933656235
CHN,664505207.5038531
CIV,10969855.929699454
CMR,9227283.610250188
COD,18259777.19977821
COG,697839.4390151749
COL,11573166.92577112
CPV,14957.4816595102
CRI,1655930.8976848898
CUB,2124354.429762767
CYP,100602.503517625
CZE,9355939.109933225
DEU,48738640.43471007
DJI,16393.944235560324
DNK,9636985.05375585
DOM,2428553.537923712
DZA,6595090.316799898
ECU,5608906.310860113
EGY,27417502.190027807
ERI,333200.1128875
ESP,31926505.542546324
EST,1747576.7661462
ETH,31892124.121286087
FIN,3300985.370526
FJI,199792.674027819
FRA,62380922.2720334
GAB,351062.9000780067
GBR,20281434.863387957
GEO,520930.98619025
GHA,16697263.667056538
GIN,5428970.380901315
GMB,144946.968205
GNB,476269.20997471415
GRC,3686591.94220775
GTM,6432711.52387119
GUY,694532.5605318664
HND,2337657.447959861
HRV,4170301.6716587003
HTI,995971.1690913949
HUN,16545748.075867373
IDN,179248829.34782544
IND,386106667.1010904
IRL,1768428.323684775
IRN,19170786.602217127
IRQ,8024539.314865815
ISR,635168.1819837774
ITA,20087753.14606985
JAM,215932.403171515
JOR,332421.50594649994
JPN,10984814.843060955
KAZ,21008595.252492778
KEN,7773789.403036346
KGZ,2245455.1425819993
KHM,11541411.511964355
KOR,4786083.453344031
KWT,92952.2552331957
LAO,5397408.51052845
LBN,477473.6270742056
LBR,553071.165588147
LBY,501594.4335536189
LKA,5496163.956752563
LSO,53546.05591
LTU,7277474.713603076
LUX,139849.061160325
LVA,3666970.1872115
MAR,5598002.332012926
MDA,2049926.1720633425
MDG,4872388.895637739
MEX,43203105.78209652
MKD,672263.6371946232
MLI,10476988.63857434
MLT,4403.0195016
MMR,29063296.434933692
MNG,445112.4947209618
MOZ,5075730.49115331
MRT,366160.51555975573
MUS,207725.271517325
MWI,8986233.062823446
MYS,40666564.00425826
NAM,287943.5483930516
NER,8618198.174154136
NGA,71994220.28003468
NIC,2004856.4042533701
NLD,3952372.871148625
NOR,1218007.4328236624
NPL,10860073.689233996
NZL,1271924.9754749262
OMN,356643.19440473
PAK,49386794.21967504
PAN,824716.2564597125
PER,8496479.66054475
PHL,31610384.907597702
PNG,2696040.030329546
POL,38811570.5474338
PRK,4901933.664624271
PRT,1713710.2315145999
PRY,19453605.927109733
QAT,16077.402799425
ROU,19718787.26556005
RUS,142005012.68605363
RWA,2484642.7576345024
SAU,2072905.3998236859
SDN,10201469.401259122
SEN,5590208.751483782
SGP,1418.9389449016253
SLE,1699546.853248312
SLV,1552118.423763757
SOM,315798.1870175
SRB,12174266.589459104
SSD,1798511.5596205487
SUR,197201.1285483501
SVK,5009770.4117219
SVN,723106.08502805
SWE,6126079.9980547
SWT,545092.2191055341
SYR,5782354.800435827
TCD,3982855.5150125
TGO,2250752.629777833
THA,47878697.77766753
TJK,1589037.288167797
TKM,1574462.8046788783
TTO,25507.172696767848
TUN,2915798.398308755
TUR,45507231.34378089
TWN,2115136.2250123587
TZA,18253232.262351323
UGA,9650697.853307944
UKR,78185253.33154853
URY,4943612.751137691
USA,517600579.5509585
UZB,8151473.963378621
VEN,3464782.374873381
VNM,42304889.10214951
YEM,883420.4777124961
ZAF,21695027.115101416
ZMB,5313669.525782618
ZWE,2072742.551468201
