,Crop,Beta,Participation,Z-Score,Node Stability,Community Satisfaction
0,Maize,0.0,0.5813609467455622,-0.30763420140201764,7.713459105603907e-05,0.9183927917394064
1,Maize,0.25,0.5652006172839507,-0.2844729433379026,8.213614813116626e-05,0.9260537175802424
2,Maize,0.5,0.5591666666666667,-0.23493339112410933,9.082252254171287e-05,0.9603992163196354
3,Maize,0.75,0.638567994585638,-0.32538567630558235,9.364410007218439e-05,0.9189039763753171
4,Maize,1.0,0.7142857142857143,-0.26081851570580494,9.145056475013804e-05,0.8925252000212356
5,Maize,1.25,0.7142857142857143,-0.26081851570580494,9.307743137094503e-05,0.8929018627299072
6,Maize,1.5,0.7108575185498263,-0.2978788716323032,9.47556252433985e-05,0.9092815042468267
7,Maize,1.75,0.719375,-0.26723854553075105,9.666735314261071e-05,0.9217611589679202
8,Maize,2.0,0.71875,-0.3021089890583219,9.861033740118457e-05,0.9436352910154545
9,Wheat,0.0,0.625,-0.24648791928225383,9.054478694208012e-05,0.7619878493402198
10,Wheat,0.25,0.7036033163265306,-0.26030123799517996,9.207294932027615e-05,0.8093155114472435
11,Wheat,0.5,0.6929012345679012,-0.2572756988221249,9.657729015905917e-05,0.8569336246205684
12,Wheat,0.75,0.691137996720679,-0.26090902514277464,0.00010297807253788069,0.8737035089820675
13,Wheat,1.0,0.7222222222222222,-0.25560733784359035,0.00010762927757979255,0.8791937579779154
14,Wheat,1.25,0.755803363305001,-0.25780197437122526,0.00011303403005820715,0.8515346558052246
15,Wheat,1.5,0.742603550295858,-0.27168513470152317,0.00011739511466541443,0.9008255471849697
16,Wheat,1.75,0.742603550295858,-0.27168513470152317,0.00012112932413898587,0.9120008889929039
17,Wheat,2.0,0.7693197278911564,-0.27168513470152317,0.000122835715854469,0.9271174242269488
18,Rice,0.0,0.6767931137107667,-0.2936448366307824,6.684747679603182e-05,0.7347086602106452
19,Rice,0.25,0.72,-0.2606819146808231,6.876595274006388e-05,0.7456424109584753
20,Rice,0.5,0.7166528827977315,-0.2830698590953246,7.070353955646421e-05,0.7661355179955536
21,Rice,0.75,0.7202665556018326,-0.336298356349163,7.218274968031085e-05,0.778684920997665
22,Rice,1.0,0.72,-0.336298356349163,7.386918518360273e-05,0.8143699443986441
23,Rice,1.25,0.72,-0.3416667271943661,7.637927529014163e-05,0.8495050887486831
24,Rice,1.5,0.6965304709141275,-0.3258862319134609,7.795530772055726e-05,0.9118372966075544
25,Rice,1.75,0.7075038011896315,-0.3485264680888154,8.024324605935349e-05,0.9108477311917931
26,Rice,2.0,0.7258438493895557,-0.3205303823780161,8.353725084423613e-05,0.9246961596140917
27,Soya beans,0.0,0.5252599243856333,-0.24441617814895605,6.211883868782549e-05,0.8581521088425921
28,Soya beans,0.25,0.5404081632653062,-0.24441617814895605,6.309821080680288e-05,0.8599190303401434
29,Soya beans,0.5,0.6219135802469136,-0.23029331599992375,6.776050233162305e-05,0.9217339828995974
30,Soya beans,0.75,0.6135140330642062,-0.23104433883919687,7.3640728587456e-05,0.9481031423026214
31,Soya beans,1.0,0.625,-0.0357847225286111,8.115832712009994e-05,0.9514790033690698
32,Soya beans,1.25,0.625,-0.24265519544121344,9.160988860857555e-05,0.9458245952067406
33,Soya beans,1.5,0.6700680272108844,-0.23849727374289767,0.00010158456068452097,0.9127335371070842
34,Soya beans,1.75,0.6916997735913537,-0.07699711288795213,0.00010216424417650353,0.9467647357282758
35,Soya beans,2.0,0.715561224489796,-0.23908117894678013,9.581759134172279e-05,0.9514859877482889
